ALASKA-COHOE_20220108_230000_01_III.fit.gz;1
ALASKA-COHOE_20220110_214500_01_III.fit.gz;1
ALASKA-COHOE_20220111_202959_01_III.fit.gz;1
ALASKA-COHOE_20220114_212959_01_III.fit.gz;1
ALASKA-COHOE_20220130_193000_01_III.fit.gz;1
ALASKA-COHOE_20220130_200000_01_III.fit.gz;1
ALASKA-COHOE_20220131_200000_01_III.fit.gz;1
ALASKA-COHOE_20220131_201500_01_III.fit.gz;1
ALASKA-COHOE_20220131_203000_01_III.fit.gz;1
ALASKA-COHOE_20220201_004459_01_III.fit.gz;1
ALASKA-COHOE_20220201_190000_01_V.fit.gz;1
ALASKA-COHOE_20220201_191500_01_V.fit.gz;1
ALASKA-COHOE_20220201_202959_01_III.fit.gz;1
ALASKA-COHOE_20220201_204459_01_III.fit.gz;1
ALASKA-COHOE_20220201_211459_01_III.fit.gz;1
ALASKA-COHOE_20220203_202959_01_V.fit.gz;1
ALASKA-COHOE_20220203_233000_01_VI.fit.gz;1
ALASKA-COHOE_20220204_191504_01_III.fit.gz;1
ALASKA-COHOE_20220204_203003_01_III.fit.gz;1
ALASKA-COHOE_20220204_210003_01_III.fit.gz;1
ALASKA-COHOE_20220204_214503_01_III.fit.gz;1
ALASKA-COHOE_20220204_233000_01_III.fit.gz;1
ALASKA-COHOE_20220205_181500_01_III.fit.gz;1
ALASKA-COHOE_20220205_183000_01_III.fit.gz;1
ALASKA-COHOE_20220205_191500_01_III.fit.gz;1
ALASKA-COHOE_20220205_193000_01_III.fit.gz;1
ALASKA-COHOE_20220205_194500_01_III.fit.gz;1
ALASKA-COHOE_20220205_201500_01_III.fit.gz;1
ALASKA-COHOE_20220206_212959_01_III.fit.gz;1
ALASKA-COHOE_20220206_224500_01_III.fit.gz;1
ALASKA-COHOE_20220207_005959_01_III.fit.gz;1
ALASKA-COHOE_20220208_212959_01_II.fit.gz;1
ALASKA-COHOE_20220208_212959_01_III.fit.gz;1
